     -    ~    a    ą    b    c    ć    d    e    ę    f    g    h    i    j    k    l    ł    m    n    ń    o    ó    p    r    s    ś    t    u    w    y    z    ź    ż
-  3350    0    1    0    0    0    0    1    0    0    2    3    0    1    6    1    0    0    0    0    0    0    0    1    0    7    0    0    1    2    3    5    1    0
~    0   46    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
a    0    0  205    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
ą    0    0    0   22    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
b    0    0    0    0   46    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
c    0    0    0    0    0   64    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
ć    0    0    0    0    0    0   22    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
d    0    0    0    0    0    0    0   70    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
e    0    0    0    0    0    0    0    0  139    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0
ę    0    0    0    0    0    0    0    0    0   22    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
f    0    0    0    0    0    0    0    0    0    0   22    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
g    0    0    0    0    0    0    0    0    0    0    0   48    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
h    0    0    0    0    0    0    0    0    0    0    0    0   44    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
i    0    0    0    0    0    0    0    0    0    0    0    0    0  169    0    0    0    0    0    0    1    0    0    0    0    0    0    1    0    0    1    0    0    0
j    0    0    0    0    0    0    0    0    0    0    0    0    0    0   46    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
k    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   68    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
l    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   70    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
ł    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   43    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
m    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   70    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
n    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  104    0    0    0    0    0    0    0    0    0    0    0    1    0    0
ń    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   22    0    0    0    0    0    0    0    0    0    0    0    0    0
o    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  133    1    0    0    0    0    0    0    0    0    0    0    0
ó    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   22    0    0    0    0    0    0    0    0    0    0    0
p    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   64    0    0    0    0    0    0    0    0    0    0
r    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   92    0    0    0    0    0    2    0    0    0
s    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   94    0    0    0    0    0    0    0    0
ś    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   21    0    0    0    0    0    0    0
t    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0   67    0    0    0    0    0    0
u    0    0    0    0    0    0    0    2    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   43    0    0    0    0    0
w    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0   93    0    2    0    0
y    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0   92    0    0    0
z    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  112    0    0
ź    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   20    0
ż    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   22
